HIP	RAhms	DEdms	Vmag	Plx	ABSmag	Pc	Ly	X	Y	Z
62725	12 51 12.83	-64 55 14.5	8.96	8.93	3.7142572944427332	111.98208286674134	365.2405375139978	-46.28588901179545	-10.518825008829396	-101.42464040850774
62726	12 51 14.20	-46 52 14.0	8.53	2.56	0.5711998265592477	390.625	1274.0617187500002	-260.4045471851979	-59.20631811735413	-285.08239918532104
62727	12 51 14.45	-06 56 41.9	9.17	1.18	-0.4705899634693722	847.4576271186439	2764.066101694915	-820.3010738176257	-186.52139261507327	-102.47120645403932
62728	12 51 15.64	-50 16 01.2	8.43	6.33	2.4370185500867763	157.97788309636647	515.2603475513428	-98.46580256996883	-22.398320399790226	-121.4899687839679
62730	12 51 16.60	-52 43 59.5	9.55	0.96	-0.5386438348021567	1041.6666666666667	3397.497916666667	-615.0363222103191	-139.9493051257426	-828.983690310775
62731	12 51 17.01	-30 28 25.6	9.16	2.18	0.8522824680230254	458.715596330275	1496.1458715596323	-385.49261210256594	-87.72934422569108	-232.63492105165682
62732	12 51 17.98	-60 19 47.2	5.71	1.09	-4.102867510296881	917.4311926605501	2992.291743119265	-442.8055356441312	-100.80553382988045	-797.1458431295657
62733	12 51 18.24	-02 54 00.4	9.69	1.11	-0.08338510606671257	900.9009009009006	2938.376576576576	-877.2972014376808	-199.73588053063128	-45.58104455057182
62734	12 51 18.38	+49 16 08.7	7.69	2.34	-0.4639207129492844	427.35042735042725	1393.845299145299	-271.8909867049953	-61.90471296659175	323.8386722084018
62735	12 51 18.59	-17 35 12.6	11.06	17.65	7.293723548619207	56.657223796034	184.79308781869693	-52.66116640414996	-11.990882308775733	-17.119033345530877
62736	12 51 18.66	+01 05 07.6	8.71	2.35	0.5653393113586827	425.531914893617	1387.9140425531916	-414.83702421229003	-94.45989971832957	8.061096756861023
62737	12 51 18.78	+67 17 46.1	11.28	16.52	7.370050214921816	60.53268765133171	197.43329297820821	-22.78054508073629	-5.187419518618871	55.84213211237623
62738	12 51 19.59	+57 43 53.9	7.65	3.59	0.4254722428915958	278.5515320334263	908.5231197771593	-145.00080892258208	-33.027521164933695	235.53111101437455
62739	12 51 19.94	+28 51 28.7	9.11	21.75	5.79729630645328	45.97701149425287	149.95852873563217	-39.26169723766844	-8.943896185996376	22.190345580329257
62740	12 51 19.98	-11 50 42.4	8.82	5.07	2.345039796666681	197.2386587771203	643.313214990138	-188.21670670047027	-42.876609283123535	-40.48649418520711
62741	12 51 20.27	+08 12 37.6	7.66	7.09	1.9132311759153335	141.0437235543018	460.0279266572637	-136.1103292083656	-31.009618028873543	20.142339153037927
62742	12 51 22.07	-48 37 35.7	9.57	6.93	3.773666173059034	144.30014430014435	470.64906204906225	-92.99146545759135	-21.19875681603994	-108.2854177927318
62743	12 51 22.93	-10 20 17.6	6.48	8.45	1.1142835447484618	118.34319526627223	385.987928994083	-113.50825886875154	-25.88335912698384	-21.2376730062197
62744	12 51 23.07	-48 06 09.1	9.44	20.23	5.969979413854023	49.431537320810676	161.22580326248146	-32.1841458848372	-7.3393017735042765	-36.79391641344602
62745	12 51 23.33	+12 22 21.9	8.86	1.81	0.14839287434592308	552.4861878453038	1801.9878453038673	-526.1448680451082	-119.9931662214318	118.38161026860477
62746	12 51 24.80	+14 51 32.2	8.94	8.9	3.686950033224564	112.35955056179775	366.47168539325844	-105.88096550797431	-24.159265708580904	28.81353199402193
62747	12 51 25.36	-13 29 25.4	7.97	3.29	0.5559794897498724	303.9513677811549	991.3671732522793	-288.15634696358126	-65.76197064179917	-70.90639532472495
